wavenumber [cm^-1],absorbance
2603.751296,0.001
2608.438798,0.002
2613.126299,0.003
2617.813801,0.004
2622.501303,0.004
2627.188805,0.005
2631.876306,0.005
2636.563808,0.005
2641.25131,0.006
2645.938812,0.006
2650.626313,0.007
2655.313815,0.007
2660.001317,0.007
2664.688819,0.008
2669.37632,0.008
2674.063822,0.008
2678.751324,0.009
2683.438826,0.01
2688.126327,0.01
2692.813829,0.011
2697.501331,0.011
2702.188833,0.012
2706.876334,0.013
2711.563836,0.015
2716.251338,0.017
2720.93884,0.018
2725.626341,0.02
2730.313843,0.021
2735.001345,0.024
2739.688846,0.027
2744.376348,0.029
2749.06385,0.03
2753.751352,0.031
2758.438853,0.033
2763.126355,0.034
2767.813857,0.036
2772.501359,0.037
2777.18886,0.039
2781.876362,0.04
2786.563864,0.043
2791.251366,0.047
2795.938867,0.049
2800.626369,0.052
2805.313871,0.055
2810.001373,0.058
2814.688874,0.062
2819.376376,0.066
2824.063878,0.071
2828.75138,0.077
2833.438881,0.085
2838.126383,0.097
2842.813885,0.111
2847.501387,0.141
2852.188888,0.169
2856.87639,0.183
2861.563892,0.235
2866.251394,0.265
2870.938895,0.324
2875.626397,0.35
2880.313899,0.396
2885.0014,0.421
2889.688902,0.45
2894.376404,0.467
2899.063906,0.486
2903.751407,0.514
2908.438909,0.51
2913.126411,0.464
2917.813913,0.444
2922.501414,0.437
2927.188916,0.432
2931.876418,0.432
2936.56392,0.437
2941.251421,0.442
2945.938923,0.45
2950.626425,0.475
2955.313927,0.501
2960.001428,0.541
2964.68893,0.553
2969.376432,0.594
2974.063934,0.611
2978.751435,0.611
2983.438937,0.607
2988.126439,0.612
2992.813941,0.607
2997.501442,0.521
3002.188944,0.471
3006.876446,0.424
3011.563948,0.331
3016.251449,0.264
3020.938951,0.216
3025.626453,0.161
3030.313954,0.114
3035.001456,0.094
3039.688958,0.054
3044.37646,0.034
3049.063961,0.021
3053.751463,0.014
3058.438965,0.008
3063.126467,0.007
3067.813968,0.005
3072.50147,0.004
3077.188972,0.003
3081.876474,0.003
3086.563975,0.002
3091.251477,0.002
3095.938979,0.002
3100.626481,0.001
3105.313982,0.001
3110.001484,0.001
3114.688986,0.001
3119.376488,0
3124.063989,0
3128.751491,0
3133.438993,0
3138.126495,0
3142.813996,0
3147.501498,0
3152.189,0
3156.876502,0
3161.564003,0
3166.251505,0
3170.939007,0
3175.626508,0
3180.31401,0
3185.001512,0.001
3189.689014,0.001
3194.376515,0.001
3199.064017,0.002
3203.751519,0.003
3208.439021,0.003
3213.126522,0.003
3217.814024,0.004
3222.501526,0.004
3227.189028,0.003
3231.876529,0.003
3236.564031,0.002
3241.251533,0.001
3245.939035,0.001
3250.626536,0
3255.314038,0
3260.00154,-0.001
3264.689042,-0.001
3269.376543,-0.002
3274.064045,-0.002
3278.751547,-0.002
3283.439049,-0.002
3288.12655,-0.002
3292.814052,-0.003
3297.501554,-0.003
3302.189056,-0.003
3306.876557,-0.003
3311.564059,-0.003
3316.251561,-0.003
3320.939062,-0.003
3325.626564,-0.003
3330.314066,-0.003
3335.001568,-0.003
3339.689069,-0.003
3344.376571,-0.003
3349.064073,-0.003
3353.751575,-0.002
3358.439076,-0.002
3363.126578,-0.002
3367.81408,-0.002
3372.501582,-0.002
3377.189083,-0.002
3381.876585,-0.002
3386.564087,-0.001
3391.251589,-0.001
3395.93909,0
3400.626592,0
3405.314094,0
3410.001596,0
3414.689097,-0.001
3419.376599,-0.001
3424.064101,-0.002
3428.751603,-0.002
3433.439104,-0.002
3438.126606,-0.001
3442.814108,0
3447.50161,0
3452.189111,0
3456.876613,0
3461.564115,0.001
3466.251616,0.001
3470.939118,0
3475.62662,0
3480.314122,0
3485.001623,0
3489.689125,0
3494.376627,-0.001
3499.064129,-0.001
3503.75163,-0.001
3508.439132,-0.001
3513.126634,-0.002
3517.814136,-0.002
3522.501637,-0.002
3527.189139,-0.001
3531.876641,-0.001
3536.564143,0
3541.251644,0
3545.939146,0
3550.626648,0
3555.31415,0.001
3560.001651,0.002
3564.689153,0.004
3569.376655,0.004
3574.064157,0.004
3578.751658,0.004
3583.43916,0.005
3588.126662,0.005
3592.814163,0.007
3597.501665,0.008
3602.189167,0.01
3606.876669,0.012
3611.56417,0.017
3616.251672,0.023
3620.939174,0.032
3625.626676,0.042
3630.314177,0.056
3635.001679,0.072
3639.689181,0.091
3644.376683,0.117
3649.064184,0.138
3653.751686,0.14
3658.439188,0.14
3663.12669,0.158
3667.814191,0.131
3672.501693,0.124
3677.189195,0.125
3681.876697,0.114
3686.564198,0.102
3691.2517,0.061
3695.939202,0.034
3700.626704,0.021
3705.314205,0.013
3710.001707,0.007
3714.689209,0.004
3719.376711,0.001
3724.064212,0
3728.751714,0
3733.439216,0
3738.126717,0
3742.814219,0
3747.501721,0
3752.189223,0
3756.876724,0
3761.564226,0
3766.251728,0
3770.93923,0
3775.626731,0.001
3780.314233,0.001
3785.001735,0.001
3789.689237,0.001
3794.376738,0
3799.06424,0
3803.751742,0
